property,AUC,95% CI of AUC,best_threshold,sensitivity,95% CI of sensitivity,specificity,95% CI of specificity,npv,95% CI of npv,ppv,95% CI of ppv
original_firstorder_Mean,0.8225806451612904,"[0.6563, 0.8512]",1.901134358,0.75,"[0.5952, 0.8781]",0.7741935483870968,"[0.6296, 0.9143]",0.7272727272727273,"[0.5714, 0.8824]",0.7941176470588235,"[0.6452, 0.9190]"
original_firstorder_Median,0.8055555555555556,"[0.6564, 0.8415]",33.54569838,0.5555555555555556,"[0.3947, 0.7188]",0.9354838709677419,"[0.8387, 1.0000]",0.6444444444444445,"[0.5106, 0.7755]",0.9090909090909091,"[0.7647, 1.0000]"
