property,AUC,95% CI of AUC,best_threshold,sensitivity,95% CI of sensitivity,specificity,95% CI of specificity,npv,95% CI of npv,ppv,95% CI of ppv
original_firstorder_Mean,0.7222222222222222,"[0.6114, 0.8387]",13.33825898,0.75,"[0.6097, 0.8857]",0.7096774193548387,"[0.5416, 0.8684]",0.7096774193548387,"[0.5333, 0.8621]",0.75,"[0.5999, 0.8751]"
original_firstorder_Median,0.7114695340501792,"[0.5953, 0.8192]",8.218774931,0.6666666666666666,"[0.5000, 0.8215]",0.7419354838709677,"[0.5768, 0.8929]",0.6571428571428571,"[0.5000, 0.8250]",0.75,"[0.5998, 0.8889]"
