property,AUC,95% CI of AUC,best_threshold,sensitivity,95% CI of sensitivity,specificity,95% CI of specificity,npv,95% CI of npv,ppv,95% CI of ppv
original_firstorder_Mean,0.53584229390681,"[0.5465, 0.6795]",-27.84650617,1,"[1.0000, 1.0000]",0.2222222222222222,"[0.0908, 0.3611]",1,"[1.0000, 1.0000]",0.5254237288135594,"[0.4035, 0.6614]"
original_firstorder_Median,0.5349462365591398,"[0.4721, 0.7086]",-12.1448045,0.6944444444444444,"[0.5312, 0.8462]",0.4838709677419355,"[0.3000, 0.6552]",0.5769230769230769,"[0.3888, 0.7621]",0.6097560975609756,"[0.4544, 0.7562]"
