property,AUC,95% CI of AUC,best_threshold,sensitivity,95% CI of sensitivity,specificity,95% CI of specificity,npv,95% CI of npv,ppv,95% CI of ppv
original_firstorder_Mean,0.8028673835125448,"[0.6728, 0.8617]",27.43228746,0.6388888888888888,"[0.4838, 0.7949]",0.9032258064516129,"[0.7879, 1.0000]",0.6829268292682927,"[0.5365, 0.8223]",0.8846153846153846,"[0.7500, 1.0000]"
original_firstorder_Median,0.7508960573476702,"[0.6214, 0.8271]",24.74151866,0.8333333333333334,"[0.6969, 0.9445]",0.6129032258064516,"[0.4375, 0.7931]",0.76,"[0.5768, 0.9259]",0.7142857142857143,"[0.5675, 0.8409]"
