property,AUC,95% CI of AUC,best_threshold,sensitivity,95% CI of sensitivity,specificity,95% CI of specificity,npv,95% CI of npv,ppv,95% CI of ppv
original_firstorder_Mean,0.7753694581280788,"[0.6190, 0.8438]",35.01834342,0.8,"[0.6667, 0.9211]",0.6551724137931034,"[0.4761, 0.8214]",0.7307692307692307,"[0.5556, 0.9000]",0.7368421052631579,"[0.5952, 0.8780]"
original_firstorder_Median,0.7251231527093596,"[0.5951, 0.8245]",66.55590576,0.6285714285714286,"[0.4483, 0.7895]",0.7931034482758621,"[0.6400, 0.9334]",0.6388888888888888,"[0.4750, 0.7908]",0.7857142857142857,"[0.6249, 0.9231]"
