property,AUC,95% CI of AUC,best_threshold,sensitivity,95% CI of sensitivity,specificity,95% CI of specificity,npv,95% CI of npv,ppv,95% CI of ppv
original_firstorder_Mean,0.6720430107526882,"[0.5631, 0.7688]",16.75414374,0.5,"[0.3415, 0.6488]",0.8387096774193549,"[0.7037, 0.9600]",0.5909090909090909,"[0.4524, 0.7442]",0.782608695652174,"[0.5861, 0.9474]"
original_firstorder_Median,0.6657706093189965,"[0.5397, 0.7649]",2.276737885,0.6388888888888888,"[0.4737, 0.7879]",0.6774193548387096,"[0.5161, 0.8335]",0.6176470588235294,"[0.4523, 0.7858]",0.696969696969697,"[0.5161, 0.8379]"
