property,AUC,95% CI of AUC,best_threshold,sensitivity,95% CI of sensitivity,specificity,95% CI of specificity,npv,95% CI of npv,ppv,95% CI of ppv
original_firstorder_Mean,0.7714285714285714,"[0.6175, 0.8388]",-20.60330474,0.8571428571428571,"[0.7381, 0.9677]",0.6129032258064516,"[0.4375, 0.7879]",0.7916666666666666,"[0.6190, 0.9545]",0.7142857142857143,"[0.5641, 0.8409]"
original_firstorder_Median,0.6857142857142856,"[0.5606, 0.7683]",-12.33432952,0.45714285714285713,"[0.3030, 0.6072]",0.8709677419354839,"[0.7407, 1.0000]",0.5869565217391305,"[0.4390, 0.7292]",0.8,"[0.6111, 0.9524]"
